"BUILDING_NAME_ENG","BUILDING_ID","DISTRICT_CODE","SBBS_COVERAGE","FTTO_COVERAGE","BDEL_COVERAGE","HKBN_WTT_COVERAGE"
"AAT AIRCARGO TERMINAL (ASIA AIRFREIGHT TERMINAL)","00100125",319,"N","Y","Y","Y"
"HONG KONG BUSINESS AVIATION CENTRE","00100127",319,"N","N","Y","N"
"CX CLK HOTEL (CATHAY PACIFIC HOTEL)","00100128",319,"N","N","Y","N"
"CATHAY PACIFIC STORES BUILDING","00100130",319,"N","N","Y","N"
"CHEK LAP KOK FIRE STATION","00100131",319,"N","N","Y","N"
"GROUND SUPPORT EQUIPMENT MAINTENANCE","00100132",319,"N","N","Y","N"
"","00013324",217,"N","N","N","Y"
"NAN FUNG IND CITY","00013201",210,"Y","N","Y","Y"
"","00013203",103,"N","N","N","Y"
"","00013204",103,"N","N","N","Y"
"","00013206",106,"N","N","N","Y"
"","00013208",106,"N","N","N","Y"
"TWO PACIFIC PLACE","00090536",132,"Y","N","Y","Y"
"","00090538",105,"N","N","N","Y"
"","00090540",11,"N","N","N","Y"
"PHASE 6, WHAMPOA PLAZA, WHAMPOA GARDEN","00090541",11,"N","N","Y","N"
"WO FOO COMMERCIAL BUILDING","00090546",9,"Y","N","Y","Y"
"PROSPERITY INDUSTRIAL BUILDING","00090547",25,"Y","N","Y","Y"
"YIP ON FTY EST","00090548",35,"Y","N","Y","Y"
"YIP ON FTY EST","00090549",35,"N","Y","Y","Y"
"","00090550",11,"N","N","N","Y"
"","00090551",11,"","N","N","Y"
"ONE EXCHANGE SQUARE","00090447",105,"Y","N","Y","Y"
"TWO EXCHANGE SQUARE","00090448",105,"Y","N","Y","Y"
"THREE EXCHANGE SQUARE","00090449",105,"N","Y","Y","Y"
"BLOCK A, FOCAL INDUSTRIAL CENTRE","00090451",11,"Y","Y","Y","Y"
"","00090456",104,"N","N","N","Y"
"GATE HOUSE, RIVER TRADE TERMINAL","00090457",210,"N","N","Y","N"
"","00090459",105,"N","N","N","Y"
"GUARDFORCE CENTRE","00090460",11,"Y","Y","Y","Y"
"","00090466",106,"N","N","N","Y"
"HIT TERMINAL 4","00090468",201,"N","N","Y","N"
"HIT TERMINAL 4","00090470",201,"N","N","Y","N"
"","00090475",106,"N","N","N","Y"
"","00090476",105,"N","N","N","Y"
"BLOCK A, HUNGHOM COMMERCIAL CENTRE","00090480",11,"Y","N","Y","Y"
"FORTUNE KINGSWOOD TWO","00090487",212,"N","Y","Y","N"
"","00090492",26,"N","N","N","Y"
"","00090493",26,"N","N","N","Y"
"SITE OFFICE","00090494",11,"N","N","Y","N"
"","00090496",113,"N","N","N","Y"
"","00090497",104,"N","N","N","Y"
"MARINE OFFICE 1, RIVER TRADE TERMINAL","00090498",210,"N","N","Y","N"
"MARITIME SQUARE","00090499",264,"N","Y","Y","Y"
"PHASE 1, MILLENNIUM CITY 1","00090502",26,"Y","Y","Y","Y"
"YUNG LAI HOUSE","29806107",29,"N","Y","N","Y"
"NAM WO HONG BUILDING","00090505",104,"Y","N","Y","Y"
"BLOCK 2, NEWPORT CENTRE","00090506",13,"Y","Y","Y","Y"
"NEWPORT CENTRE","00090507",13,"Y","Y","N","Y"
"ONE PACIFIC PLACE","00090509",132,"Y","N","Y","Y"
"PASSENGER TERMINAL BUILDING","00090510",319,"N","Y","Y","Y"
"","00090511",11,"N","N","N","Y"
"PRE-FABRICATED OFFICE","00090513",210,"N","Y","Y","N"
"","00090514",115,"N","N","N","Y"
"TEDA BUILDING","00090518",104,"Y","N","Y","Y"
"EUBANK PLAZA","00090369",105,"N","N","Y","Y"
"ADMIRALTY CENTRE TOWER 2","00090387",105,"Y","N","Y","Y"
"AIR MAIL CENTRE","00090388",319,"N","Y","Y","N"
"AIRPORT FREIGHT FORWARDING CENTRE (AFFC)","00090389",319,"N","N","Y","Y"
"","00090390",25,"N","N","N","N"
"","00090391",25,"N","Y","N","N"
"","00090392",25,"N","N","N","N"
"AIRPORT AMR INTO-PLANE FUELLING FACILITY","00090393",319,"N","Y","Y","N"
"AON INSURANCE TOWER","00090394",106,"Y","Y","Y","Y"
"C & E BUILDING (OFFICE BLOCK), RIVER TRADE TERMINAL","00090397",210,"N","N","Y","N"
"","00090398",105,"N","N","N","Y"
"HACTL SUPER TERMINAL 1 (HONG KONG AIR CARGO TERMINALS LIMITED)","00090399",319,"N","Y","Y","Y"
"SUNLIGHT TWR (MLC TOWER)","00090400",106,"Y","Y","Y","Y"
"","00090401",105,"N","N","N","Y"
"BLOCK 1, CHINA HONG KONG CITY (OFFICE TOWER)","00090403",10,"N","Y","Y","Y"
"BLOCK 2, CHINA HONG KONG CITY (OFFICE TOWER)","00090404",10,"N","Y","Y","Y"
"BLOCK 3, CHINA HONG KONG CITY (OFFICE TOWER)","00090405",10,"N","Y","Y","Y"
"CHINA UNITED CENTRE","00090406",112,"N","Y","Y","Y"
"CHUANG'S CITY TOWER","00090407",106,"N","N","N","Y"
"CHT TOWER TERMINAL 8","00090410",201,"N","Y","Y","N"
"DEER HILL BAY CLUB HOUSE","00090419",219,"N","N","Y","N"
"","00090287",105,"N","N","N","Y"
"","00090330",112,"N","N","N","Y"
"","00090342",103,"N","N","N","Y"
"","00090271",11,"N","N","N","Y"
"","00020741",8,"N","N","N","Y"
"SILVER FORTUNE PLAZA","00020746",105,"Y","N","Y","Y"
"","00020747",105,"N","N","N","Y"
"SING PAO BUILDING","00020749",112,"Y","Y","Y","Y"
"BLOCK A, PO YIP BUILDING","00020669",202,"Y","Y","Y","Y"
"PRINCE'S BUILDING","00020673",105,"Y","N","Y","Y"
"PRINTING HSE","00020674",105,"Y","Y","Y","Y"
"MAGNET PLACE TWR 1","00020676",201,"N","Y","N","Y"
"","00020680",105,"N","N","N","Y"
"RIGHT EMPEROR COMMERCIAL BUILDING","00020686",105,"N","N","Y","Y"
"PHASE 2, GRAND TOWER","00020688",8,"N","Y","Y","Y"
"ROXY INDUSTRIAL BUILDING","00020694",201,"N","Y","Y","Y"
"","00020695",202,"N","N","N","Y"
"","00020645",105,"N","N","N","Y"
"","00020657",8,"N","N","N","Y"
"","00020611",105,"N","N","N","Y"
"","00020612",105,"","N","N","Y"
"","00020614",35,"N","N","N","Y"
"","00020630",108,"N","N","N","Y"
"","00020635",105,"N","N","N","Y"
"DEMOLISHED_MON HING FTY BLDG","00020550",101,"N","N","N","Y"
"","00020559",6,"N","N","N","Y"
"NAN DAO COMMERCIAL BUILDING","00020564",105,"Y","N","Y","Y"
"NAN FUNG CENTRE","00020565",202,"Y","N","N","Y"
"","72804403",219,"N","N","N","N"
"","54200519",211,"N","N","N","N"
"","75708134",223,"N","N","N","N"
"TRACKSIDE VILLAS","75313801",222,"N","N","N","N"
"","72403907",219,"N","N","N","N"
"","52206601",211,"N","N","N","N"
"","54300305",211,"N","N","N","N"
"","72403908",219,"N","N","N","N"
"SEA VIEW HSE","92002102",268,"N","N","N","N"
"","14437801",107,"N","N","N","N"
"NO. 43A CHE HA","74101607",33,"N","Y","N","N"
"","63100910",219,"N","N","N","N"
"","26726801",6,"N","N","N","N"
"NO. 313 MA WAN MAIN STREET VILLAGE NORTH","97501804",265,"N","Y","N","N"
"FEDERAL MANS","26120302",2,"N","N","N","N"
"","28519301",16,"N","N","N","N"
"","75707910",33,"N","N","N","N"
"","52200338",211,"N","N","N","N"
"","35007317",264,"N","N","N","N"
"","14607101",108,"N","Y","N","Y"
"","64202001",225,"N","N","N","N"
"CLOUDLANDS BLK A","18208301",128,"N","N","N","N"
"ALTRO","11248101",103,"N","Y","N","N"
"","18200501",127,"N","N","N","N"
"THE WARREN","14517101",111,"N","N","N","N"
"CADOGAN","11150701",101,"N","Y","N","N"
"","63401609",218,"N","N","N","N"
"","72800706",219,"N","N","N","N"
"ANGLERS BAY TWR 2","33502102",203,"N","N","N","N"
"","27123501",17,"N","N","N","N"
"","21304001",11,"N","Y","N","N"
"","21304002",11,"N","Y","N","N"
"","21304003",11,"N","Y","N","N"
"","21304004",11,"N","Y","N","N"
"","21304010",11,"N","Y","N","N"
"","21304011",11,"N","Y","N","N"
"","21304012",11,"N","Y","N","N"
"","21304013",11,"N","Y","N","N"
"","21304005",11,"N","Y","N","N"
"","21304006",11,"N","Y","N","N"
"","21304007",11,"N","Y","N","N"
"","21304008",11,"N","Y","N","N"
"","21304009",11,"N","Y","N","N"
"","00020571",105,"N","N","N","Y"
"OFFICE PLUS AT SHEUNG WAN","00020576",104,"Y","Y","Y","Y"
"","00020524",1,"","N","N","Y"
"","00020526",20,"N","N","N","Y"
"MEI KEI INDUSTRIAL BUILDING","00020529",202,"N","N","Y","N"
"METROPOLE BUILDING","00020538",10,"Y","Y","Y","Y"
"METROPOLE DEPARTMENT STORE","00020539",112,"N","Y","Y","N"
"MAN LEE INDUSTRIAL BUILDING","00020496",201,"Y","N","Y","Y"
"","00020497",104,"N","N","N","Y"
"MAN YEE BLDG","00020506",105,"Y","N","Y","Y"
"","00020462",105,"N","N","N","Y"
"1 LYNDHURST TOWER","00020474",105,"Y","N","Y","Y"
"","00020475",105,"N","Y","N","Y"
"","00020484",1,"","N","N","Y"
"","00020439",108,"N","N","N","Y"
"","00020450",201,"N","N","N","Y"
"","00020452",201,"N","N","N","Y"
"LEE CHUNG INDUSTRIAL BUILDING","00020407",20,"N","Y","Y","Y"
"LEE ROY COMMERCIAL BUILDING","00020414",105,"N","Y","N","N"
"LEE WEST COMMERCIAL BUILDING","00020420",108,"N","Y","Y","Y"
"","00020423",115,"N","N","N","Y"
"","00020387",26,"N","N","N","Y"
"LAI LUEN BUILDING","00020393",6,"Y","N","N","Y"
"LAI SUN COMMERCIAL CENTRE","00020397",2,"Y","Y","Y","Y"
"","00020342",104,"N","N","N","Y"
"","00020346",105,"N","N","N","Y"
"","00020310",106,"N","Y","N","N"
"KIN TAK FUNG INDUSTRIAL BUILDING","00020318",26,"Y","N","Y","Y"
"","00020324",20,"","N","N","Y"
"","00020299",211,"N","N","N","Y"
"","00020304",1,"N","N","N","Y"
"KIMLEY COMMERCIAL BUILDING","00020308",104,"Y","Y","Y","Y"
"KAI TAK FACTORY BUILDING","00020248",20,"Y","N","Y","Y"
"","00020249",8,"N","N","N","Y"
"","28106802",21,"N","Y","N","Y"
"21-23 NASSAU STREET","26000976",1,"N","Y","N","Y"
"MEI YIN HOUSE","26304402",3,"N","Y","N","Y"
"","97100601",315,"N","Y","N","Y"
"","63400903",217,"N","N","N","N"
"","27124901",17,"N","N","N","N"
"","27124902",17,"N","N","N","N"
"","27124903",17,"N","N","N","N"
"CHI MEI LAU","24601903",13,"N","Y","N","Y"
"","16139201",115,"N","N","N","N"
"","16139301",115,"N","N","N","N"
"","72404603",219,"N","N","N","N"
"","14221501",127,"N","N","N","N"
"","52808001",211,"N","N","N","N"
"OCEAN CRT BLCOK C","22101004",7,"N","N","N","N"
"","28600801",35,"N","Y","N","N"
"","72301821",219,"N","Y","N","Y"
"THE RISE","32505601",201,"N","N","N","Y"
"","75412002",222,"N","N","N","N"
"CHUN HING SAN TSUEN GUARD KIOSK B","52704298",211,"N","Y","N","Y"
"IMPERIAL SEAFRONT","26901311",7,"N","Y","N","Y"
"HOUSE 208","72805210",219,"N","Y","N","N"
"HOUSE 33","72805633",219,"N","Y","N","N"
"","54226002",211,"N","N","N","N"
"","19601103",321,"N","N","N","N"
"","19601105",321,"N","N","N","N"
"","19601106",321,"N","N","N","N"
"","16139701",114,"N","N","N","N"
"","19601104",321,"N","N","N","N"
"","19601107",321,"N","N","N","N"
"","19601101",321,"N","N","N","N"
"","19601102",321,"N","N","N","N"
"","54200524",211,"N","N","N","N"
"","72301401",219,"N","Y","N","Y"
"","72301402",219,"N","Y","N","Y"
"","72301403",219,"N","Y","N","Y"
"","72301404",219,"N","Y","N","Y"
"","72301405",219,"N","Y","N","Y"
"YAN TAT HOUSE","29302101",27,"N","Y","N","Y"
"SIN TAT HOUSE","29302102",27,"N","Y","N","Y"
"LAI TAT HOUSE","29302103",27,"N","Y","N","Y"
"CHI TAT HOUSE","29302104",27,"N","Y","N","Y"
"KAI WONG COMMERCIAL BUILDING","00020250",105,"N","Y","N","Y"
"KAILEY TOWER","00020252",105,"N","Y","N","Y"
"PHASE 2, KAISER ESTATE","00020253",11,"Y","Y","Y","Y"
"PHASE 3, KAISER ESTATE","00020254",11,"Y","Y","Y","Y"
"","00020270",9,"N","N","N","Y"
"JOIN IN HANG SING CENTRE","00020226",201,"Y","N","Y","Y"
"","00020228",106,"","N","N","Y"
"FORD GLORY PLAZA","00020237",2,"Y","N","Y","Y"
"","00020241",20,"N","N","N","Y"
"KAI TAK COMMERCIAL BUILDING","00020247",104,"Y","Y","Y","Y"
"HONG MAN INDUSTRIAL CENTRE","00020189",116,"Y","Y","Y","Y"
"HOPEFULL FACTORY CENTRE","00020199",222,"Y","N","Y","Y"
"HOPEWELL CENTRE","00020203",106,"N","N","Y","Y"
"","00020204",106,"N","N","N","Y"
"HUNG CHEONG FACTORY BUILDING","00020206",1,"Y","Y","Y","Y"
"","00020210",8,"N","N","N","Y"
"HUNG WAI INDUSTRIAL BUILDING","00020211",211,"N","Y","N","N"
"HO LEE COMMERCIAL BUILDING","00020160",105,"N","Y","N","N"
"","00020174",9,"","N","N","Y"
"HONG KONG CLUB BLDG","00020182",105,"N","N","Y","Y"
"","00020183",105,"N","N","N","Y"
"PHASE 1 - 2, HK SPINNERS INDUSTRIAL BUILDING (FT C-H)","00020185",2,"N","Y","Y","Y"
"","00020186",210,"N","N","N","N"
"","00020132",105,"N","N","N","Y"
"HILLIER COMMERCIAL BUILDING","00020136",105,"Y","N","Y","Y"
"","00020147",11,"N","N","N","Y"
"HING TAI COMMERCIAL BUILDING","00020150",104,"N","N","Y","Y"
"BLOCK A, HI-TECH INDUSTRIAL CENTRE","00020158",202,"Y","N","Y","Y"
"DEMOLISHED_HAMILTON COMM BLDG","00020102",9,"N","N","N","Y"
"","42203202",210,"N","Y","N","Y"
"HOUSE 80","72804680",219,"N","Y","N","N"
"","42605406",210,"","N","","Y"
"HOUSE 91","72804691",219,"N","Y","N","N"
"","17110708",126,"N","N","N","N"
"","00020105",104,"N","N","N","Y"
"","00020109",211,"N","N","N","Y"
"","00020113",8,"N","N","N","Y"
"BLOCK A, HANKOW CENTRE (FT A1-A6)","00020114",10,"Y","N","Y","Y"
"HARCOURT HOUSE","00020119",106,"N","Y","Y","Y"
"GOLDEN SUN CENTRE","00020079",104,"N","Y","N","Y"
"","00020083",106,"N","N","N","Y"
"","00020088",26,"N","N","N","Y"
"GUANGDONG INVESTMENT TOWER","00020098",104,"Y","N","N","Y"
"BEAUTIFUL GROUP TOWER","00020099",104,"Y","Y","Y","Y"
"","00020039",106,"N","N","N","Y"
"FUI NAM BUILDING","00020043",104,"Y","N","N","Y"
"","00020059",8,"N","N","N","Y"
"GARMENT CENTRE","00020065",1,"N","Y","N","Y"
"","00020066",122,"N","N","N","Y"
"","00020069",7,"N","N","N","Y"
"FOUR SEAS COMMUNICATION BANK BUILDING","00020029",104,"N","Y","Y","Y"
"","00020035",6,"N","N","N","Y"
"EURO TRADE CENTRE","00019990",105,"Y","N","Y","Y"
"CHINA EVERGRANDE CTR","00019991",106,"N","Y","N","Y"
"","00019996",8,"N","Y","N","N"
"","00019997",210,"N","N","N","Y"
"","00020001",2,"N","N","N","Y"
"","00020004",105,"N","N","N","Y"
"","00019968",106,"N","N","N","Y"
"EAST TOWN BUILDING","00019981",106,"Y","N","Y","Y"
"EASTERN SEA IND BLDG","00019982",201,"N","Y","N","Y"
"","00019983",2,"N","N","N","Y"
"CHINA TAIPING TOWER","00019984",108,"Y","N","Y","Y"
"","00019941",106,"N","N","N","Y"
"","00019945",29,"","N","N","Y"
"","00019947",13,"N","N","N","Y"
"88 HING FAT STREET","00019948",112,"Y","Y","Y","Y"
"BLOCK A, CITY INDUSTRIAL COMPLEX","00019955",201,"Y","N","Y","Y"
"CLUB LUSITANO BUILDING","00019956",105,"N","N","Y","Y"
"CHEUNG KONG FACTORY BUILDING","00019904",1,"Y","Y","Y","Y"
"CHEVALIER INDUSTRIAL BUILDING","00019911",7,"Y","N","Y","Y"
"CHIAP KING INDUSTRIAL BUILDING","00019913",20,"Y","N","Y","Y"
"CHINA MERCHANTS BUILDING","00019915",104,"N","N","N","Y"
"CHINA OVERSEAS BUILDING","00019916",106,"Y","N","Y","Y"
"CHINA UNDERWRITERS CENTRE","00019917",106,"Y","N","Y","Y"
"","00019919",20,"N","N","N","Y"
"CMA BUILDING","00019920",105,"Y","N","Y","Y"
"","00019924",104,"N","N","N","Y"
"CHOW SANG SANG BUILDING","00019930",9,"Y","N","Y","Y"
"CHEONG WAH FACTORY BUILDING","00019882",13,"Y","Y","N","Y"
"","00019897",103,"N","N","N","Y"
"CAR PO COMMERCIAL BUILDING","00019848",105,"N","Y","N","Y"
"CAVENDISH CENTRE","00019853",122,"Y","Y","Y","Y"
"CDW BUILDING","00019854",202,"N","Y","Y","Y"
"CENTRAL BUILDING","00019855",105,"Y","Y","Y","Y"
"CENTRAL GOVERNMENT OFFICES WEST WING","00019856",105,"N","Y","N","Y"
"CHAU'S COMMERCIAL CENTRE","00019864",202,"N","Y","N","Y"
"CHEONG FAT FACTORY BUILDING","00019868",2,"N","Y","N","Y"
"","00019817",202,"N","N","N","Y"
"ARGYLE CENTRE/NEW TOWN MALL","00019818",8,"N","Y","Y","Y"
"ASIA STANDARD TOWER","00019824",105,"N","Y","Y","Y"
"DEMOLISHED_ASIAN HSE","00019825",106,"N","N","N","Y"
"","00019826",106,"N","N","N","Y"
"BASKERVILLE HOUSE","00019828",105,"N","Y","N","Y"
"FORTIS BANK TOWER","00019832",106,"Y","N","Y","Y"
"BONHAM COMMERCIAL CENTRE","00019842",104,"N","Y","Y","Y"
"CHINA HONG KONG CENTRE","00019769",10,"Y","Y","Y","Y"
"CHINA HONG KONG TOWER","00019770",106,"N","Y","N","Y"
"CHINA INSURANCE BUILDING","00019771",10,"Y","N","Y","Y"
"","00019772",105,"N","N","N","Y"
"CHINA RESOURCES BUILDING","00019781",106,"Y","N","Y","Y"
"","00019786",105,"N","N","N","Y"
"","62701102",217,"N","Y","N","Y"
